Teil;TA;Bezeichnung1;Bezeichnung2;Bezeichnung3;Bezeichnung4;RMNr;Aktivität;rMenge;Sollte;Istte;ZEte;IstteSek;Solltr;Isttr;ZEtr;Zustand;Isttesn;IstteSollte;IsttrSolltr
0042;9;EQ-BCI Equipment Adapter;;;;48322;Verpacken;112;6.720,00;5.342,00;Sek;5342;10;10;Min;nein;47,7;79%;100%
0042;9;EQ-BCI Equipment Adapter;;;;49519;Verpacken;48;2.880,00;2.118,00;Sek;2118;10;10;Min;nein;44,1;74%;100%
0042;9;EQ-BCI Equipment Adapter;;;;50616;Verpacken;25;1.500,00;52.648,00;Sek;52648;10;10;Min;nein;2105,9;3510%;100%
0042;9;EQ-BCI Equipment Adapter;;;;53933;Verpacken;100;6.000,00;7.320,00;Sek;7320;10;10;Min;nein;73,2;122%;100%
0042;9;EQ-BCI Equipment Adapter;;;;59995;Verpacken;1;60;0;Sek;0;10;2,2;Min;nein;0,0;0%;22%
0042;9;EQ-BCI Equipment Adapter;;;;61941;Verpacken;32;1.920,00;3.000,00;Sek;3000;10;10;Min;nein;93,8;156%;100%
0042;9;EQ-BCI Equipment Adapter;;;;65579;Verpacken;30;1.800,00;2.340,00;Sek;2340;10;10;Min;nein;78,0;130%;100%
0042;9;EQ-BCI Equipment Adapter;;;;66217;Verpacken;30;1.800,00;2.280,00;Sek;2280;10;10;Min;nein;76,0;127%;100%
0042;9;EQ-BCI Equipment Adapter;;;;45144;Verpacken;34;2.040,00;2.431,00;Sek;2431;0;0;Min;nein;71,5;119%;#DIV/0!
0042;9;EQ-BCI Equipment Adapter;;;;45867;Verpacken;34;2.040,00;4.506,00;Sek;4506;0;0;Min;nein;132,5;221%;#DIV/0!
0043;9;EQ-S Equipment Adapter;;;;48685;Verpacken;40;2.400,00;3.899,00;Sek;3899;10;10;Min;nein;97,5;162%;100%
0043;9;EQ-S Equipment Adapter;;;;51941;Verpacken;40;2.400,00;1.961,00;Sek;1961;10;10;Min;nein;49,0;82%;100%
0043;9;EQ-S Equipment Adapter;;;;63874;Verpacken;64;3.840,00;6.240,00;Sek;6240;10;10;Min;nein;97,5;163%;100%
0043;9;EQ-S Equipment Adapter;;;;64028;Verpacken;16;960;240;Sek;240;10;10;Min;nein;15,0;25%;100%
0043;9;EQ-S Equipment Adapter;;;;45857;Verpacken;20;1.200,00;2.048,00;Sek;2048;0;0;Min;nein;102,4;171%;#DIV/0!
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;47649;Verpacken;20;2.400,00;4.176,00;Sek;4176;10;10;Min;nein;208,8;174%;100%
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;47650;Verpacken;20;2.400,00;2.388,00;Sek;2388;10;10;Min;nein;119,4;100%;100%
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;47651;Verpacken;20;2.400,00;2.640,00;Sek;2640;10;10;Min;nein;132,0;110%;100%
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;49641;Verpacken;20;2.400,00;2.716,00;Sek;2716;10;10;Min;nein;135,8;113%;100%
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;52724;Verpacken;1;120;0;Sek;0;10;0,23;Min;nein;0,0;0%;2%
