Teil,TA,Bezeichnung,Aktivität,RMNr,rMenge,Sollte,IstteSek,Solltrsek,Isttrsek,Zustand,tges
0042,9,EQ-BCI Equipment Adapter,Verpacken,48322,112,6720,5342,600,600.0,false,5942.0
0042,9,EQ-BCI Equipment Adapter,Verpacken,49519,48,2880,2118,600,600.0,false,2718.0
0042,9,EQ-BCI Equipment Adapter,Verpacken,50616,25,1500,52648,600,600.0,false,53248.0
0042,9,EQ-BCI Equipment Adapter,Verpacken,53933,100,6000,7320,600,600.0,false,7920.0
0042,9,EQ-BCI Equipment Adapter,Verpacken,59995,1,60,0,600,132.0,false,132.0
0042,9,EQ-BCI Equipment Adapter,Verpacken,61941,32,1920,3000,600,600.0,false,3600.0
0042,9,EQ-BCI Equipment Adapter,Verpacken,65579,30,1800,2340,600,600.0,false,2940.0
0042,9,EQ-BCI Equipment Adapter,Verpacken,66217,30,1800,2280,600,600.0,false,2880.0
0042,9,EQ-BCI Equipment Adapter,Verpacken,45144,34,2040,2431,0,0.0,false,2431.0
0042,9,EQ-BCI Equipment Adapter,Verpacken,45867,34,2040,4506,0,0.0,false,4506.0
0043,9,EQ-S Equipment Adapter,Verpacken,48685,40,2400,3899,600,600.0,false,4499.0
0043,9,EQ-S Equipment Adapter,Verpacken,51941,40,2400,1961,600,600.0,false,2561.0
0043,9,EQ-S Equipment Adapter,Verpacken,63874,64,3840,6240,600,600.0,false,6840.0
0043,9,EQ-S Equipment Adapter,Verpacken,64028,16,960,240,600,600.0,false,840.0
0043,9,EQ-S Equipment Adapter,Verpacken,45857,20,1200,2048,0,0.0,false,2048.0
0052,9,Master Box VBS 2-200 mit Smart-Shunt 200A,Verpacken,47649,20,2400,4176,600,600.0,false,4776.0
0052,9,Master Box VBS 2-200 mit Smart-Shunt 200A,Verpacken,47650,20,2400,2388,600,600.0,false,2988.0
0052,9,Master Box VBS 2-200 mit Smart-Shunt 200A,Verpacken,47651,20,2400,2640,600,600.0,false,3240.0
0052,9,Master Box VBS 2-200 mit Smart-Shunt 200A,Verpacken,49641,20,2400,2716,600,600.0,false,3316.0
0052,9,Master Box VBS 2-200 mit Smart-Shunt 200A,Verpacken,52724,1,120,0,600,12.0,false,12.0
0052,9,Master Box VBS 2-200 mit Smart-Shunt 200A,Verpacken,55902,20,2400,2449,600,600.0,false,3049.0
0052,9,Master Box VBS 2-200 mit Smart-Shunt 200A,Verpacken,56341,20,2400,2833,600,600.0,false,3433.0
0052,9,Master Box VBS 2-200 mit Smart-Shunt 200A,Verpacken,59346,8,960,798,600,600.0,false,1398.0
