ID,Aktivität,Teil,n,Bezeichnung,Gruppe
1,02-0028a,02-0028a,12,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,
2,02-0089a,02-0089a,26,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",
3,02-0089a,02-0309a,6,"N-MOSFET THT IRFBC40PBF gebogen, geschnitten MZ-TO220-Typ01",
4,02-0095b,02-0095b,20,N-MOSFET THT IRF3205PBF geschnitten MZ-TO220-Typ04,
5,02-0115a,02-0115a,2,"Silizium Diode THT BYV42E-200 gebogen, geschnitten mit Zange PN-5050-SD",
6,02-0131b,02-0131b,21,Schottky Diode THT MBR20H100CT geschnitten MZ-TO220-Typ03,
7,02-0135a,02-0135a,67,"N-MOSFET THT IRF1405PBF gebogen, geschnitten MZ-TO220-Typ01",
8,02-0135c,02-0135c,15,N-MOSFET THT IRF1405PBF geschnitten MZ-TO220-Typ03,
9,02-0141a,02-0141a,15,Silizium Diode THT MUR8100EG geschnitten MZ-TO220-Typ03,
10,02-0151a,02-0151a,15,Silizium Diode THT 30ETH06 geschnitten MZ-TO220-Typ03,
11,02-0152a,02-0152a,14,IC THT linear Spannungsregler MC7812 CT geschnitten MZ-TO220-Typ03,
12,02-0154c,02-0154c,18,N-MOSFET THT IRFP460A geschnitten MZ-TO247-Typ01,
13,02-0154d,02-0154d,21,N-MOSFET THT IRFP460A geschnitten MZ-TO247-Typ05,
14,02-0167a,02-0167a,5,Schottky Diode THT 40CPQ100 geschnitten MZ-TO247-Typ01,
15,02-0167b,02-0167b,12,Schottky Diode THT 40CPQ100 geschnitten MZ-TO247-Typ03,
16,02-0173a,02-0173a,20,"Schottky Diode THT MBR20200CT gebogen, geschnitten MZ-TO220-Typ01",
17,02-0198b,02-0198b,32,"N-MOSFET THT IRFB3206 gebogen, geschnitten MZ-TO220-Typ01",
18,02-0201a,02-0201a,63,"Gleichrichter THT GBPC3508W 560V 35A, geschnitten MZ-Gleichrichter-1",
19,02-0203a,02-0203a,5,"N-MOSFET THT IRF2804PBF gebogen, geschnitten MZ-TO220-Typ06",
20,02-0214a,02-0214a,4,"N-MOSFET THT IRFB4710 gebogen, geschnitten MZ-TO220-Typ01",
21,02-0223a,02-0223a,19,"IC THT linear Spannungsregler LM317 T-DG gebogen, geschnitten MZ-TO220-Typ01",
22,02-0223a,02-0312a,8,"IC THT linear Spannungsregler LM317 HVT NOPB gebogen, geschnitten MZ-TO220-Typ01",
23,02-0235a,02-0235a,1,P-MOSFET THT IRF4905PBF geschnitten MZ-TO220-Typ04,
24,02-0253b,02-0253b,1,Schottky Diode THT MBR2560CT geschnitten MZ-TO220-Typ03,
25,02-0253d,02-0253d,8,"Schottky Diode THT MBR2560CT gebogen, geschnitten MZ-TO220-Typ09",
26,02-0253e,02-0253e,3,"Schottky Diode THT MBR2560CT gebogen, geschnitten MZ-TO220-Typ10",
27,02-0254a,02-0254a,2,"N-MOSFET THT FDP22N50N gebogen, geschnitten MZ-TO220-Typ01",
28,02-0255a,02-0255a,10,SiC Schottky Diode THT IDH06G65C6XKSA1 geschnitten MZ-TO220-Typ03,
29,02-0255b,02-0255b,8,SiC Schottky Diode THT IDH06G65C6XKSA1 geschnitten MZ-TO220-Typ04,
30,02-0263a,02-0263a,58,"N-MOSFET THT IRFB7437PBF gebogen, geschnitten MZ-TO220-Typ01",
31,02-0263b,02-0263b,66,N-MOSFET THT IRFB7437PBF geschnitten MZ-TO220-Typ04,
32,02-0279a,02-0279a,10,"N-MOSFET THT IPP50R190CE gebogen, geschnitten MZ-TO220-Typ09",
33,02-0295a,02-0295a,22,IGBT THT STGW20NC60VD geschnitten MZ-TO247-Typ01,
34,02-0318b,02-0318b,11,N-MOSFET THT DIT095N08 geschnitten MZ-TO220-Typ04,
35,0318a,02-0318a,11,N-MOSFET THT DIT095N08 geschnitten MZ-TO220-Typ05,
36,AOI-Prüfung,OI-VAG01e-A-01,54,Baugruppe AOI geprüft VCC 1212-30 / 1212-20 C,
37,AOI-Prüfung,OI-VAF02b-B-02,35,Baugruppe AOI geprüft VCC 1212 70-90,
38,AOI-Prüfung,OI-VAI01a-B-03,27,Baugruppe AOI geprüft MPP 260 CI,
39,AOI-Prüfung,OI-VAI01a-C-05,26,Baugruppe AOI geprüft MPP 360 CI,
40,AOI-Prüfung,OI-VAA09b-P-14,21,"Baugruppe AOI geprüft LCD Solarcomputer S, LCD Batteriecomputer S, LCD Charge Control S",
41,AOI-Prüfung,OI-VAI01a-C-07,20,Baugruppe AOI geprüft MPP 440 CI,
42,AOI-Prüfung,OI-VAI01b-C-05,20,Baugruppe AOI geprüft MPPT 360 CI,
